Drug_A,MolecularWeight_A,XLogP_A,TPSA_A,Charge_A,HBondDonorCount_A,HBondAcceptorCount_A,RotatableBondCount_A,Volume3D_A,CanonicalSMILES_A,IsomericSMILES_A,Drug_B,MolecularWeight_B,XLogP_B,TPSA_B,Charge_B,HBondDonorCount_B,HBondAcceptorCount_B,RotatableBondCount_B,Volume3D_B,CanonicalSMILES_B,IsomericSMILES_B,Level
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Tolvaptan,448.9,4.8,69.6,0.0,2.0,3.0,3.0,344.8,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C,CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C,Moderate
Toremifene,406.0,7.2,12.5,0.0,0.0,2.0,9.0,331.7,CN(C)CCOC1=CC=C(C=C1)C(=C(CCCl)C2=CC=CC=C2)C3=CC=CC=C3,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)\C2=CC=CC=C2)/C3=CC=CC=C3,Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Moderate
Trazodone,371.9,2.8,42.4,0.0,0.0,4.0,5.0,283.7,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,C1CN(CCN1CCCN2C(=O)N3C=CC=CC3=N2)C4=CC(=CC=C4)Cl,Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Tretinoin,300.4,6.3,37.3,0.0,1.0,2.0,5.0,258.7,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C,Moderate
Triamcinolone,394.4,1.2,115.0,0.0,4.0,7.0,2.0,290.6,CC12CC(C3(C(C1CC(C2(C(=O)CO)O)O)CCC4=CC(=O)C=CC43C)F)O,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Triazolam,343.2,2.4,43.1,0.0,0.0,3.0,1.0,248.0,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Ubrogepant,549.5,3.1,104.0,0.0,2.0,8.0,4.0,407.6,CC1C(CC(C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(CC4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=CC=CC=C6,C[C@@H]1[C@@H](C[C@@H](C(=O)N1CC(F)(F)F)NC(=O)C2=CC3=C(C[C@@]4(C3)C5=C(NC4=O)N=CC=C5)N=C2)C6=CC=CC=C6,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Ulipristal,433.6,2.9,57.6,0.0,1.0,4.0,3.0,345.7,CC(=O)C1(CCC2C1(CC(C3=C4CCC(=O)C=C4CCC23)C5=CC=C(C=C5)N(C)C)C)O,CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)O,Minor
Valdecoxib,314.4,2.6,94.6,0.0,1.0,5.0,3.0,236.8,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,CC1=C(C(=NO1)C2=CC=CC=C2)C3=CC=C(C=C3)S(=O)(=O)N,Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Vardenafil,488.6,2.5,118.0,0.0,1.0,8.0,8.0,370.9,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,CCCC1=NC(=C2N1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)CC)OCC)C,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Vemurafenib,489.9,5.0,100.0,0.0,2.0,7.0,7.0,355.2,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Vilazodone,441.5,4.0,102.0,0.0,2.0,5.0,7.0,348.7,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,Moderate
Voriconazole,349.31,1.5,76.7,0.0,1.0,8.0,5.0,250.8,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,C[C@@H](C1=NC=NC=C1F)[C@](CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Warfarin,308.3,2.7,63.6,0.0,1.0,4.0,4.0,241.0,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,CC(=O)CC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,Moderate
Zafirlukast,575.7,5.5,124.0,0.0,2.0,6.0,9.0,440.7,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,CC1=CC=CC=C1S(=O)(=O)NC(=O)C2=CC(=C(C=C2)CC3=CN(C4=C3C=C(C=C4)NC(=O)OC5CCCC5)C)OC,Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Zanubrutinib,471.5,3.5,102.0,0.0,2.0,5.0,6.0,364.3,C=CC(=O)N1CCC(CC1)C2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N,C=CC(=O)N1CCC(CC1)[C@@H]2CCNC3=C(C(=NN23)C4=CC=C(C=C4)OC5=CC=CC=C5)C(=O)N,Major
Ziprasidone,412.9,4.0,76.7,0.0,1.0,5.0,4.0,309.3,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54,Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Minor
Zolpidem,307.4,2.5,37.6,0.0,0.0,2.0,3.0,252.4,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,CC1=CC=C(C=C1)C2=C(N3C=C(C=CC3=N2)C)CC(=O)N(C)C,Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Moderate
Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Zonisamide,212.23,0.2,94.6,0.0,1.0,5.0,2.0,151.1,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,C1=CC=C2C(=C1)C(=NO2)CS(=O)(=O)N,Moderate
Desogestrel,310.5,4.9,20.2,0.0,1.0,1.0,2.0,255.5,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,Alogliptin,339.4,0.6,93.7,0.0,1.0,5.0,3.0,259.8,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCCC(C3)N,CN1C(=O)C=C(N(C1=O)CC2=CC=CC=C2C#N)N3CCC[C@H](C3)N,Moderate
Desogestrel,310.5,4.9,20.2,0.0,1.0,1.0,2.0,255.5,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,Aprepitant,534.4,4.2,75.2,0.0,2.0,12.0,6.0,369.7,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,Moderate
Desogestrel,310.5,4.9,20.2,0.0,1.0,1.0,2.0,255.5,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,Ertugliflozin,436.9,1.7,109.0,0.0,4.0,7.0,6.0,320.5,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)C34C(C(C(C(O3)(CO4)CO)O)O)O)Cl,CCOC1=CC=C(C=C1)CC2=C(C=CC(=C2)[C@@]34[C@@H]([C@H]([C@@H]([C@@](O3)(CO4)CO)O)O)O)Cl,Moderate
Desogestrel,310.5,4.9,20.2,0.0,1.0,1.0,2.0,255.5,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,Metformin,129.16,-1.3,91.5,0.0,3.0,1.0,2.0,97.4,CN(C)C(=N)N=C(N)N,CN(C)C(=N)N=C(N)N,Moderate
Desogestrel,310.5,4.9,20.2,0.0,1.0,1.0,2.0,255.5,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,Nateglinide,317.4,3.2,66.4,0.0,2.0,3.0,6.0,257.2,CC(C)C1CCC(CC1)C(=O)NC(CC2=CC=CC=C2)C(=O)O,CC(C)C1CCC(CC1)C(=O)N[C@H](CC2=CC=CC=C2)C(=O)O,Moderate
Desogestrel,310.5,4.9,20.2,0.0,1.0,1.0,2.0,255.5,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,Rosuvastatin,481.5,1.6,149.0,0.0,3.0,10.0,10.0,362.6,CC(C)C1=NC(=NC(=C1C=CC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,CC(C)C1=NC(=NC(=C1/C=C/[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)N(C)S(=O)(=O)C,Minor
Desogestrel,310.5,4.9,20.2,0.0,1.0,1.0,2.0,255.5,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,Saxagliptin,315.4,0.7,90.4,0.0,2.0,4.0,2.0,233.5,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N,C1[C@@H]2C[C@@H]2N([C@@H]1C#N)C(=O)[C@H](C34CC5CC(C3)CC(C5)(C4)O)N,Moderate
Desogestrel,310.5,4.9,20.2,0.0,1.0,1.0,2.0,255.5,CCC12CC(=C)C3C(C1CCC2(C#C)O)CCC4=CCCCC34,CC[C@]12CC(=C)[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CCCC[C@H]34,Sitagliptin,407.31,0.7,77.0,0.0,1.0,10.0,4.0,278.9,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Acetohexamide,324.4,2.4,101.0,0.0,2.0,4.0,4.0,244.9,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,CC(=O)C1=CC=C(C=C1)S(=O)(=O)NC(=O)NC2CCCCC2,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Chlorpropamide,276.74,2.3,83.7,0.0,2.0,3.0,4.0,197.4,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Clofarabine,303.68,0.9,119.0,0.0,3.0,8.0,2.0,202.5,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)F)Cl)N,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)F)Cl)N,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Deferasirox,373.4,3.8,108.0,0.0,3.0,6.0,4.0,283.9,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O,Major
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Diclofenac,296.1,4.4,49.3,0.0,2.0,3.0,4.0,214.7,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Dicoumarol,336.3,2.6,93.1,0.0,2.0,6.0,2.0,248.5,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Diflunisal,250.2,4.4,57.5,0.0,2.0,5.0,2.0,182.7,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)F)C(=O)O)O,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Entecavir,277.28,-1.3,126.0,0.0,4.0,5.0,2.0,201.6,C=C1C(CC(C1CO)O)N2C=NC3=C2N=C(NC3=O)N,C=C1[C@H](C[C@@H]([C@H]1CO)O)N2C=NC3=C2N=C(NC3=O)N,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Etidronic acid,206.03,-3.7,135.0,0.0,5.0,7.0,2.0,126.9,CC(O)(P(=O)(O)O)P(=O)(O)O,CC(O)(P(=O)(O)O)P(=O)(O)O,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Etodolac,287.35,2.8,62.3,0.0,2.0,3.0,4.0,225.4,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Fenoprofen,242.27,3.3,46.5,0.0,1.0,3.0,4.0,194.0,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,CC(C1=CC(=CC=C1)OC2=CC=CC=C2)C(=O)O,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Flucytosine,129.09,-0.9,67.5,0.0,2.0,3.0,0.0,88.5,C1=NC(=O)NC(=C1F)N,C1=NC(=O)NC(=C1F)N,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Flurbiprofen,244.26,4.2,37.3,0.0,1.0,3.0,3.0,193.4,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Foscarnet,126.01,-2.0,94.8,0.0,3.0,5.0,1.0,78.2,C(=O)(O)P(=O)(O)O,C(=O)(O)P(=O)(O)O,Moderate
Glimepiride,490.6,3.9,133.0,0.0,3.0,5.0,7.0,376.4,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Glipizide,445.5,1.9,139.0,0.0,3.0,6.0,7.0,337.6,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,CC1=CN=C(C=N1)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Glyburide,494.0,4.8,122.0,0.0,3.0,5.0,8.0,365.7,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Indomethacin,357.8,4.3,68.5,0.0,1.0,4.0,4.0,268.6,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,Moderate
Mesalazine,153.14,1.3,83.6,0.0,3.0,4.0,1.0,113.7,C1=CC(=C(C=C1N)C(=O)O)O,C1=CC(=C(C=C1N)C(=O)O)O,Iodipamide,1139.8,5.5,133.0,0.0,4.0,6.0,9.0,454.6,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C=C(C(=C2I)C(=O)O)I)I)I)C(=O)O)I,Major
